date,optuna_sol_IsT,mean_solution_IsT,lower_bound_IsT,upper_bound_IsT,optuna_sol_IgT,mean_solution_IgT,lower_bound_IgT,upper_bound_IgT,optuna_sol_EsT_EgT,mean_solution_EsT_EgT,lower_bound_EsT_EgT,upper_bound_EsT_EgT
2009.0,734.9397583007812,734.9397583007812,734.9397583007812,734.9397583007812,394.0,394.0,394.0,394.0,1054.060302734375,1054.060302734375,1054.060302734375,1054.060302734375
2009.0666666666675,694.432097746688,686.925128395232,662.5151036341431,707.3279497632694,400.687419234647,400.77303318843315,393.8109953891063,405.96979174575534,1066.3802349542646,1066.2215051774297,1063.935501658929,1068.964281795901
2009.133333333335,660.0658515989696,644.7587899918602,601.0067609513642,682.1919317717031,410.8649176708606,408.9619750858814,396.1608814686747,418.5690740467317,1075.754241192172,1075.0551940551497,1072.0067543532139,1078.7340636455756
2009.2000000000025,630.512904528765,607.6492569443302,548.4953536427133,659.0815714558092,422.979686722716,417.93356885106033,400.0807295830854,431.4173783653487,1082.8598028108886,1081.170059424482,1077.8713018764306,1085.5146845648428
2009.26666666667,604.8158288992735,574.9266652421054,504.1907003559704,638.1515075956711,436.0319546923267,427.25529888409403,405.0502491490636,444.2047373067701,1088.193962993089,1085.0644218168084,1079.6556765873383,1090.4829477292747
2009.3333333333376,582.269987647861,546.02052321052,466.3221824963118,619.0279321461868,449.3836966235045,436.6347960723712,410.4651725584702,456.64502793063923,1092.1284203012974,1087.1486249407587,1077.797321552658,1094.544533691814
2009.400000000005,562.3450660399653,520.4423423600813,433.767821369892,601.4326576819612,462.63320919334376,445.87736093760105,416.1900933600454,468.94211148804277,1094.9465216182998,1087.7621899466976,1073.3412075969077,1098.2681155463326
2009.4666666666726,544.632628040098,497.7719199550039,406.1083113745149,585.3478962500254,475.5328866778813,454.85620345651733,421.81382249179603,480.91051414571564,1096.8682763107272,1087.1870980780645,1067.1881666442005,1101.5534806038568
2009.5333333333401,528.8108673085189,477.6463804741464,382.7524346120759,570.2185712212078,487.93533223356184,463.49159175842703,427.41754740544485,492.5929159550639,1098.0674233971702,1085.6581917665535,1059.8572070760445,1104.1573468412348
2009.6000000000076,514.6207396782913,459.7513221120596,362.3973531068801,556.6351477695121,499.7580557023644,471.73625572485577,432.8102099773163,503.75793387149895,1098.6832076376356,1083.3714083350492,1051.5638391792827,1106.1687573896688
