date,mu,b
2009,14,12.9
2010,13.9,13.2
2011,13.6,13.1
2012,13.6,13.9
2013,13.4,14.1
2014,13.3,14
2015,13.1,14.2
2016,13,13.7
2017,12.9,12.3
2018,12.9,11.7
2019,12.7,10.7
2020,15.3,10.3
2021,17,10.1
2022,13.7,9.6
