date,mu,b
2009,14.3,15.6
2010,14.4,15.2
2011,14,15.3
2012,13.9,15.9
2013,13.6,15.7
2014,13.7,15.2
2015,13.6,15.3
2016,13.4,14.7
2017,12.9,13.4
2018,13,12.8
2019,13.2,11.8
2020,15,11.3
2021,17.7,11
2022,14.1,10.4
