date,optuna_sol_IsT,mean_solution_IsT,lower_bound_IsT,upper_bound_IsT,optuna_sol_IgT,mean_solution_IgT,lower_bound_IgT,upper_bound_IgT,optuna_sol_EsT_EgT,mean_solution_EsT_EgT,lower_bound_EsT_EgT,upper_bound_EsT_EgT
2009.0,3475.190673828125,3475.190673828125,3475.190673828125,3475.190673828125,501.0,501.0,501.0,501.0,5370.8095703125,5370.8095703125,5370.8095703125,5370.8095703125
2009.0666666666675,3472.001751751827,3529.3508181140883,3497.2476858307136,3565.864528252812,507.6864020188554,528.99885956917,522.0490322066647,535.1795225335871,5368.607876216727,5382.603194154903,5364.372840774066,5393.148866643466
2009.133333333335,3456.701862702886,3566.6156461511114,3510.5155422494754,3630.303902207509,519.0911402287837,570.024132177606,554.1444314259315,583.2857610776028,5367.060696815704,5394.75111276778,5361.382023072836,5414.790030155558
2009.2000000000025,3432.408159308307,3591.289537810836,3516.7688459018896,3675.827717199059,533.8908427774167,618.5541538886944,592.2803267728025,641.0206831766817,5365.823930826501,5407.486921698634,5361.546039828672,5436.239867146708
2009.26666666667,3401.545669974291,3606.463811160833,3517.2848483278503,3706.784878600997,551.0591470864734,670.8052246624599,633.8595233267864,702.9106011667797,5364.6376491120445,5420.899926536887,5364.059980692487,5457.761245331541
2009.3333333333376,3365.9966180480355,3614.3691514024495,3511.945306167209,3727.5313490014933,569.8025645762673,724.2106779479965,676.1587471830061,765.8697856376211,5363.307543317805,5434.984858471939,5368.249809267943,5480.1217754160125
2009.400000000005,3327.2176705380966,3616.6247259319275,3502.993682928237,3740.038259145825,589.5101099737233,777.0549490663749,718.1367049168606,828.0488457462733,5361.690381986006,5449.676188803045,5373.527616421168,5502.906595713523
2009.4666666666726,3286.332149898995,3614.414421301697,3491.2400334569365,3746.0665068032263,609.7136811410785,828.2164525053746,759.4806403103418,887.9981272540151,5359.682592911027,5464.871718679154,5380.1181617028,5525.962741731771
2009.5333333333401,3244.202386913722,3608.611608373026,3476.5804975582687,3748.9569294368657,630.056968910899,876.9869286619768,799.4394808510714,944.9794142940132,5357.2113235311435,5480.448698479188,5387.197867308523,5549.15958656256
2009.6000000000076,3201.4865688956775,3599.867551883615,3458.7351608552694,3748.398457229035,650.27102844684,922.9445265577372,836.9337752564867,998.539819106984,5354.2274346604145,5496.274750696767,5395.05110757283,5572.175262029811
2009.6666666666752,3158.683384767228,3588.6741171046333,3438.1125968900737,3745.089668815595,670.1550946572019,965.8646812416006,871.6812364842415,1048.0650601575362,5350.700014744189,5512.215179663617,5404.048572131684,5595.093037443156
2009.7333333333427,3116.167057715585,3575.4082989053113,3417.4011388708072,3739.4813198442844,689.5615289649144,1005.6575655460849,904.5380168428454,1094.2262846159897,5346.612090852787,5528.137776650639,5413.048282470377,5618.064696072606
2009.8000000000102,3074.214845355665,3560.36388701508,3394.8309466277447,3733.5014663525158,708.3840038668221,1042.3242419255891,934.6771389789672,1136.717710280937,5341.957276561923,5543.915890982991,5422.679218974112,5640.736068461023
2009.8666666666777,3033.0286018605148,3543.7740174030437,3370.6949196357104,3724.277194725962,726.5482401180482,1075.9259762709046,961.7484296886203,1175.6131489702777,5336.737157600055,5559.43030602584,5431.451115351898,5662.707181138623
2009.9333333333452,2992.7517109037303,3525.827263878064,3345.759988477273,3712.727259152035,744.0047340222661,1106.5628145494443,986.5855724291341,1211.0601769465175,5330.959251869265,5574.570295921662,5440.331426407491,5684.033237398962
2010.0000000000127,2953.4823264234137,3506.6791469761133,3319.260886305254,3698.680707692961,760.7230720567277,1134.3586787133734,1009.3690760690783,1243.4961644780906,5324.635426922439,5589.234124938149,5449.7143305070795,5704.730564158692
2010.0666666666802,2915.2837580297432,3486.4603885452793,3292.9972116556037,3684.9128185241416,776.6874731104521,1159.4510499554872,1029.6490901599448,1272.811732427413,5317.780670506261,5603.329171807062,5457.039583299186,5723.9214358193
2010.1333333333478,2878.192605302863,3465.282852809117,3266.5499954140264,3669.193515507152,791.8932985597484,1181.9838783851505,1048.4367982443632,1298.629789319511,5310.41213884452,5616.771805855791,5464.809119116396,5742.586313841788
2010.2000000000153,2842.2251091629205,3443.2438409297606,3240.476402458491,3651.548247659139,806.3443288896942,1202.1027597761479,1065.0401669662474,1322.0477504515604,5302.548424331986,5629.4871029148635,5472.286680653981,5759.95990719238
2010.2666666666828,2807.3821173974143,3420.429211990804,3213.4807772762183,3633.224125790676,820.0506361406206,1219.9517033077864,1079.1835610788391,1342.7228219577426,5294.208993186963,5641.408461818788,5479.23904576301,5776.800351250748
2010.3333333333503,2773.652955524651,3396.9156661130755,3186.033437815886,3613.471859142814,833.0269269795281,1235.6710135024884,1092.180771322471,1361.3008918944029,5285.413756841335,5652.477163371479,5485.034400022522,5792.266770757766
2010.4000000000178,2741.0184437837593,3372.7724285246945,3158.636543076776,3592.4696098395034,845.2912528648075,1249.3959499183977,1103.446830330048,1377.2880153268452,5276.18274713322,5662.64190038834,5491.164288347006,5806.454918071944
2010.4666666666853,2709.453239244399,3348.0625037388986,3131.3455061571067,3570.7122478769097,856.8640103370604,1261.2559280622415,1112.9110580343888,1390.6619339180045,5266.535873084858,5671.858298150095,5496.221083138723,5819.4640530381985
2010.5333333333529,2678.9276530757925,3322.843620747993,3103.2409042480595,3547.691925019795,867.767166921278,1271.3740941482224,1121.427150950787,1402.0036427572556,5256.4927406571605,5680.088438234381,5500.397978197301,5831.137883710076
2010.6000000000204,2649.4090533508997,3297.1689552319663,3075.5142603152585,3523.8506087236706,878.0236651763634,1279.8671561021413,1128.3128716501064,1412.3123042181176,5246.072521824287,5687.300394145959,5503.424120025316,5841.750164537193
2010.666666666688,2620.8629456562194,3271.0876900887974,3047.8103521754338,3499.7626741293125,887.656965214544,1286.8453880527459,1133.5076710780886,1420.5417153697078,5235.293861565461,5693.467784086555,5505.699448570755,5851.80618220966
2010.7333333333554,2593.2537998626967,3244.645458115377,3020.4318180030273,3475.517380657043,896.6906962944416,1292.4127501529956,1137.879736365036,1427.1843973733544,5224.174814354943,5698.569344051361,5507.001676229778,5859.906004117126
2010.800000000023,2566.545679883539,3217.8846982064806,2992.4953181487585,3449.520014226657,905.148393049866,1296.6670829841366,1141.2749947051784,1432.478357135668,5212.732803164108,5702.588522965697,5507.610564527911,5866.509284748204
2010.8666666666904,2540.70271730411,3190.84494749867,2964.0316057593923,3423.1883420705653,913.0532987702425,1299.7003481436877,1143.538094627823,1436.267663261051,5200.984595976107,5705.513100578483,5507.071286730385,5872.220105881877
2010.933333333358,2515.689466060292,3163.5630857160727,2935.9880803148912,3397.2318840148287,920.4282197432136,1301.5988951955505,1144.9021187359144,1438.9870460324855,5188.946295273567,5707.334828132497,5505.857485149699,5876.473435452457
2011.0000000000255,2491.4711639089874,3136.0735433436753,2907.767048609367,3370.3234175367033,927.2954195859861,1302.4437413397036,1145.373992577319,1440.6536427282276,5176.633337382508,5708.049091404463,5503.5952611438925,5879.258957349337
2011.066666666693,2468.0139192275456,3108.408481904437,2880.214957970125,3342.599934146273,933.6765455906957,1302.3108546217084,1145.3395873370089,1441.14411030677,5164.06049944651,5707.654595450419,5501.400273714081,5881.504662555137
2011.1333333333605,2445.2848424603335,3080.597952676876,2851.387355241077,3315.4016728839365,939.592578774051,1301.2714342246402,1144.2021252299887,1440.2238014618915,5151.2419117092595,5706.153070144451,5497.917899919203,5881.636512241992
2011.200000000028,2423.252134060625,3052.670038323816,2823.7010289077466,3287.0429778011953,945.063802532934,1299.3921837946707,1142.638323098258,1438.418744037194,5138.191073709146,5703.548995506436,5492.744251909986,5881.670920224112
2011.2666666666955,2401.8851385411444,3024.6509805836104,2796.5727905239996,3258.460701181065,950.1097857689496,1296.7355752526778,1140.139366073513,1435.8283105197575,5124.920873264963,5699.849345840018,5486.469200692534,5879.368299855237
2011.333333333363,2381.1543733197814,2996.56529654963,2769.3679120513225,3229.927648860319,954.7493767439922,1293.3601014288693,1136.7284691908585,1432.1485967657427,5111.443607240801,5695.0633516438,5478.737414382072,5875.594241264469
2011.4000000000306,2361.0315382616236,2968.4358854201428,2741.8429770822636,3200.8782322758275,959.0007051267179,1289.3205166726398,1132.7589042469738,1428.2328333262153,5097.771003434574,5689.202278229476,5471.559065812824,5870.49383763883
2011.466666666698,2341.489508781546,2940.284127050426,2714.4558969398477,3172.111516253647,962.8811909946085,1284.6680650914516,1128.745170754992,1423.7131382019536,5083.91424324999,5682.279220084862,5463.8501951793205,5864.997435344204
2011.5333333333656,2322.502322422661,2912.129973388533,2686.9266145177594,3143.2502005662886,966.4075565364819,1279.4506964414152,1123.659252862964,1418.7600770769006,5069.883984166696,5674.3089099942035,5453.627760886922,5858.382178966989
2011.600000000033,2304.045152618297,2883.9920336608725,2659.6527261901097,3114.9529657067146,969.5958431360186,1273.713269855259,1118.465792698612,1412.6414423138817,5055.690382511936,5665.307541991072,5443.227070269999,5850.706257139332
2011.6666666667006,2286.0942785718585,2855.8876539858757,2632.4418576388475,3085.585957286695,972.4614300163046,1267.4977458124888,1113.0439598802564,1405.7633297771438,5041.343115788224,5655.292607221872,5431.623587631901,5841.572246148928
2011.7333333333681,2268.6270519850495,2827.8329918890418,2605.486310833882,3056.5585041385534,975.0190541207129,1260.843366710924,1106.6918641833786,1398.851553901846,5026.851404398336,5644.282742014383,5420.400477272155,5831.344216205817
2011.8000000000357,2251.621860851388,2799.8430862013847,2578.5695858875742,3026.7659280949965,977.2828311361328,1253.7868265841564,1100.528531162573,1391.1032614179107,5012.224032796343,5632.297587299664,5407.305061171878,5820.117713503514
2011.8666666667032,2235.05809094562,2771.9319227205074,2552.6417619883887,2997.2389308564466,979.2662773794459,1246.3624304756559,1094.1615244475095,1382.6667495679114,4997.469369983692,5619.357658656732,5393.792706399283,5807.9801519986695
2011.9333333333707,2218.916087288665,2744.112496095423,2526.374565559958,2968.017939387413,980.9823316085731,1238.6022444444652,1086.9669161234958,1374.2912742391002,4982.595389417319,5605.484225927425,5379.09434351911,5795.507142050417
2012.0000000000382,2203.177114748297,2716.3968678765386,2500.266138038639,2939.122790734392,982.4433770236334,1230.536235878287,1079.4742558507821,1365.5744446671717,4967.609687785308,5590.699202515844,5363.221306495494,5780.994795396868
2012.0666666667057,2187.8233193559236,2688.7962213656533,2473.707815081692,2910.552972481536,983.6612629062647,1222.1924054051885,1071.9191380476373,1356.5188704827424,4952.519503404169,5575.025043039943,5347.376040233284,5765.9952809562865
2012.1333333333732,2172.8376903330586,2661.3209130565856,2447.280673639151,2881.3257153859026,984.6473257884568,1213.5969102689933,1064.0152782287785,1347.8285379497881,4937.331733512947,5558.484649389152,5330.188265965575,5750.339704978167
2012.2000000000407,2158.2040230911493,2633.980521342561,2421.10590112458,2851.8641209768284,985.4124100909096,1204.7741804405023,1056.1600915061174,1338.2946250118507,4922.0529508336585,5541.101283856333,5312.590538520945,5734.082108945155
2012.2666666667083,2143.9068826156845,2606.78389236218,2395.059568968252,2822.9459747075825,985.9668885116763,1195.7470272764429,1048.2121443175304,1329.1671189200397,4906.689419628429,5522.898489527099,5293.598900845448,5716.033996124601
2012.3333333333758,2129.93156813632,2579.7391832447743,2368.9739343227907,2795.471285087363,986.3206817107097,1186.5367454849634,1040.000895634431,1319.3710017199187,4891.24711078476,5503.900017103768,5274.687068299466,5697.0106113424645
2012.4000000000433,2116.2640797806644,2552.8539028411583,2342.5689412835823,2767.722356138504,986.4832770144723,1177.1632086327718,1031.149155382987,1309.2254467237412,4875.731716060822,5484.129757875397,5255.523066685408,5676.799480602125
2012.4666666667108,2102.8910855986546,2526.134950232161,2317.970369611261,2739.0846045929884,986.4637468936304,1167.644958857018,1023.0056958514843,1298.5439369405071,4860.148661973397,5463.611682204661,5234.713520605461,5655.812843330592
2012.5333333333783,2089.7998901958335,2499.588650974902,2293.3631355448833,2710.919769401038,986.2707666080214,1157.9992907440094,1014.1269846150823,1288.2053334023517,4844.503122819646,5442.369783509285,5213.493669631904,5634.876708543037
2012.6000000000458,2076.978404929382,2473.2207913520892,2268.5402401466326,2682.879461109102,985.9126310390535,1148.2423301711754,1005.1674479542382,1278.1637148463083,4828.800032910707,5420.428026937354,5191.9006005396595,5613.436181482105
2012.6666666667134,2064.415118916765,2447.0366506027317,2243.0633669036542,2654.683368149283,985.3972711167628,1138.3891079661005,996.4129466292967,1267.7094696535555,4813.044098492093,5397.810302872882,5169.522358701736,5590.905575996234
2012.7333333333809,2052.099071436807,2421.04103139605,2218.8471004024104,2627.952722179993,984.732269520828,1128.4536290188928,987.6095637863361,1257.012290985109,4797.239808955364,5374.540384582561,5146.842657679522,5568.037684697631
2012.8000000000484,2040.0198259637573,2395.2382885679526,2194.7043031678304,2600.696732374224,983.9248755336171,1118.4489371718337,978.4924286151694,1246.0039312008157,4781.391447292128,5350.641889732021,5122.734135765848,5544.32320491527
2012.866666666716,2028.1674448154101,2369.6323561937916,2170.708611780569,2573.2760612798056,982.9820195752346,1108.3871760330758,969.3384872873966,1235.3021705379533,4765.503100294768,5326.138245621512,5098.520140016928,5519.966702326718
2012.9333333333834,2016.5324650601428,2344.226773181185,2147.058117306215,2546.5038011843258,981.9103270858734,1098.2796460257448,960.4338892113151,1224.1083233629927,4749.578668184083,5301.052657777531,5073.671954228269,5495.263855825542
2013.000000000051,2005.1058760746962,2319.0247073963487,2122.90775089867,2519.881829665971,980.7161315500508,1088.13685780809,951.4542494047912,1213.2616539686946,4733.621873522136,5275.408081753592,5047.918261765675,5469.543136174061
2013.0666666667184,1993.8790979466569,2294.0289783870144,2099.9252852983354,2493.227979461495,979.4054870715144,1077.9685822590725,942.4071208588961,1201.8924051181932,4717.636269757931,5249.22719797994,5022.031818396001,5443.220229829982
2013.133333333386,1982.843958576674,2269.242078899816,2076.0164900300824,2466.9269319017235,977.9841816311359,1067.7838975024897,933.4526600077338,1191.4150598085791,4701.625250341428,5222.532389151866,4995.402442404031,5416.701282509432
2013.2000000000535,1971.992677595312,2244.6661950862126,2052.728538468415,2441.2162042656446,976.4577467723432,1057.5912329063353,924.2527105682943,1180.3789631232692,4685.5920548838685,5195.345720252927,4969.320550385438,5390.231762795658
2013.266666666721,1961.3178438934917,2220.3032255582357,2029.6673937430908,2416.2682445115365,974.8314706310821,1047.398410246292,915.3502799810948,1169.2362994390105,4669.539778093935,5167.688920987836,4943.258364234937,5361.685824827141
2013.3333333333885,1950.8124009065443,2196.1547994167636,2007.13909223964,2390.4568789625146,973.110406879127,1037.2126824164382,906.1205486037668,1158.5993908653716,4653.471375416649,5139.583370253392,4916.438839283828,5334.286577474451
2013.400000000056,1940.4696263331723,2172.2222932304053,1984.8702766015674,2365.225494422614,971.2993866055017,1027.0407696532598,897.2682529641991,1147.6067834080898,4637.389671019798,5111.050082679556,4888.289564141538,5305.693846257703
2013.4666666667235,1930.2831191002708,2148.5068470528668,1962.6190441638119,2340.920998956433,969.4030263486543,1016.8888935419891,888.1863758001107,1136.8837203614705,4621.297362756427,5082.10969697339,4859.543403347378,5277.0988960577615
2013.533333333391,1920.246780748352,2125.009379508253,1941.079344564177,2316.523947068425,967.4257390935305,1006.7628088348823,879.1182291781467,1126.5104606833595,4605.197029447534,5052.782466045869,4831.705209354046,5247.8105400780605
2013.6000000000586,1910.354803685185,2101.7306020230085,1919.1644666383754,2291.8463268369924,965.3717415878467,996.6678333560506,870.2160496997363,1115.6694994878408,4589.091135312436,5023.088248649861,4802.790053693197,5218.053120530729
2013.666666666726,1900.6016542844586,2078.671032240506,1897.0076393585732,2267.4302710261086,963.2450644269784,986.6088759733431,861.2739805793105,1105.4499772869044,4572.982036551102,4993.046502519244,4774.581380364593,5188.587196828
2013.7333333333936,1890.9820623176515,2055.831006681118,1875.145325486947,2244.113058752112,961.0495587160443,976.590462851528,852.1438677180626,1094.9769159795874,4556.871985330313,4962.676278836951,4745.130608339281,5158.417792254786
2013.8000000000611,1881.4910062243566,2033.210692673212,1853.4654810375337,2219.8420851262167,958.788904974673,966.6167620353151,843.0752811040413,1084.3667060678565,4540.7631354664845,4931.996217926515,4714.574423521234,5128.362508146978
2013.8666666667286,1872.123703764334,2010.8100995992527,1831.8005505052397,2196.5471276435546,956.4666191070038,956.6916065292907,834.2246310333676,1073.6035660896034,4524.657545935877,4901.024546085005,4683.099159792454,5097.48458325847
2013.9333333333961,1862.8755948661333,1988.629089480719,1810.7832109516876,2173.036671047365,954.0860626534459,946.8185159196651,825.4531240947458,1062.624165154253,4508.55718752314,4869.779073436711,4651.580208578827,5066.544954353374
2014.0000000000637,1853.7423317520336,1966.66738696571,1789.4435075842866,2150.6687369138212,951.650449046556,937.0007166362975,816.5016022469472,1051.9357322619069,4492.46394654421,4838.277192751965,4619.718184320422,5035.332666871209
