date,mu,b
2009,13.8,16.1
2010,13.8,15.9
2011,13.3,15.6
2012,13.1,16.3
2013,12.5,16.1
2014,12.5,16.2
2015,12.9,15.7
2016,12.3,14.9
2017,11.7,13.7
2018,12.3,13
2019,12.4,12.2
2020,13.7,12.2
2021,15.8,11.9
2022,13.8,11.2
