date,mu,b
2009,14.7,12.7
2010,15,12.7
2011,14.6,12.8
2012,14.6,13.8
2013,14.2,13.6
2014,14.2,13.4
2015,14.1,12.9
2016,14.1,12.4
2017,14,11.2
2018,14.3,10.3
2019,14,9.4
2020,16.5,9
2021,19.1,8.7
2022,15.8,8.2
