date,optuna_sol_IsT,mean_solution_IsT,lower_bound_IsT,upper_bound_IsT,optuna_sol_IgT,mean_solution_IgT,lower_bound_IgT,upper_bound_IgT,optuna_sol_EsT_EgT,mean_solution_EsT_EgT,lower_bound_EsT_EgT,upper_bound_EsT_EgT
2009.0,704.7879028320312,704.7879028320312,704.7879028320312,704.7879028320312,174.0,174.0,174.0,174.0,1498.212158203125,1498.212158203125,1498.212158203125,1498.212158203125
2009.0666666666675,685.1055076388785,701.4279828651385,690.1993682713589,712.1670912204372,170.7858044381155,175.84788469990008,171.92648910600371,178.957737300485,1495.784699334747,1493.9965833153951,1491.538293256235,1497.2078133700404
2009.133333333335,666.5950155433087,695.979278670327,676.3804629643787,714.6484072805865,169.15901418051368,178.30445356704578,171.66063579167837,183.7672460380104,1492.4626908581433,1490.0831298988392,1485.9018541652206,1495.4702884455303
2009.2000000000025,649.1631945073291,688.9739366593928,663.1443866599515,713.445891064737,168.75792293367866,181.18269831223196,172.63048093562475,188.421337246696,1488.4162860375525,1486.377274387114,1480.9402573843336,1493.3294837333415
2009.26666666667,632.727365983765,680.834182307785,650.4115100877277,709.5856519581621,169.29114732638325,184.33602036258208,174.38734232251997,192.96856116979217,1483.7848747706912,1482.8048484900996,1476.2392585842501,1490.9193050895121
2009.3333333333376,617.2138353060017,671.8940740330338,638.1666852793333,703.6007800653656,170.52459836287457,187.650114533788,176.62161440088178,197.402966887153,1478.682662018066,1479.3080013728277,1471.7731509419802,1488.233745705849
2009.400000000005,602.5565863577283,662.4169793500707,626.4622505337027,696.2380743902313,172.27082148964823,191.0364568047723,179.0135326825085,201.78416654040367,1473.2032379047396,1475.8419514763384,1467.295999495966,1485.4400574548592
2009.4666666666726,588.696195324576,652.6096234573528,615.214952021391,687.8555271869169,174.3802878237925,194.42707961046426,181.54093963743315,206.08635398556825,1467.423316859829,1472.3723713786817,1462.7483078379219,1482.6949023110205
2009.5333333333401,575.5789243226054,642.6333844136918,604.3046312247087,678.5859928458552,176.73427669544728,197.7703776454835,184.06796153077326,210.1596659165763,1461.405798756226,1468.8732824908436,1458.2063459393587,1479.866863050027
2009.6000000000076,563.1559633538365,632.6133655246309,593.8937895716555,668.9227479958578,179.23906080974962,201.02774620827336,186.56171142757563,214.16269828410168,1455.2022747946353,1465.3253622592013,1453.5932024859435,1477.1417277746632
2009.6666666666752,551.3827947125232,622.645689538371,583.9160305841112,658.9426306657481,181.82115796598626,204.17088459821898,188.9802480220422,218.32334529963907,1448.8550785196387,1461.7145817276132,1448.760508366821,1474.3291726028801
